SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status,,
1,Saptari,Agnisair Krishna Sabaran Rural Municipality,Mayor,,45,M,Nepali Congress,"3,395",Elected,,
2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Vice-Mayor,,38,F,Nepali Congress,"2,948",Elected,,
3,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward President,1,48,M,Nepali Congress,640,Elected,,
4,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,1,70,M,Nepali Congress,451,Elected,,
5,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,1,62,M,Nepali Congress,416,Elected,,
6,Saptari,Agnisair Krishna Sabaran Rural Municipality,Female Ward Member,1,65,F,Nepali Congress,640,Elected,,
7,Saptari,Agnisair Krishna Sabaran Rural Municipality,Dalit Female Ward Member,1,25,F,Nepali Congress,528,Elected,,
8,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward President,2,48,M,Communist Party of Nepal (Maoist Centre),529,Elected,,
9,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,2,40,F,Communist Party of Nepal (Maoist Centre),436,Elected,,
10,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,2,45,M,Communist Party of Nepal (Maoist Centre),428,Elected,,
11,Saptari,Agnisair Krishna Sabaran Rural Municipality,Female Ward Member,2,32,F,Communist Party of Nepal (Maoist Centre),392,Elected,,
12,Saptari,Agnisair Krishna Sabaran Rural Municipality,Dalit Female Ward Member,2,49,F,Communist Party of Nepal (Maoist Centre),469,Elected,,
13,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward President,3,49,M,Communist Party of Nepal (Maoist Centre),442,Elected,,
14,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,3,50,M,Nepal Loktantric Forum,319,Elected,,
15,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,3,52,M,Communist Party of Nepal (Maoist Centre),292,Elected,,
