SN,District,Administrative Division,Position,Ward,Name,Age,Gender,Party,Votes,Status
1,Dolakha,Kalinchowk Rural Municipality,Mayor,,क्रर्न कुमाि थामी,34,M,Communist Party of Nepal (UML),4601,Elected
2,Dolakha,Kalinchowk Rural Municipality,Vice-Mayor,,कानलका पाठक,47,F,Communist Party of Nepal (UML),4590,Elected
3,Dolakha,Kalinchowk Rural Municipality,Ward President,1,बाबलुाल थामी,56,M,Nepali Congress,301,Elected
4,Dolakha,Kalinchowk Rural Municipality,Ward Member,1,अकल बहादिु तामाङ,50,M,Nepali Congress,295,Elected
5,Dolakha,Kalinchowk Rural Municipality,Ward Member,1,डम्र्ि बहादिु तमाङ,37,M,Nepali Congress,294,Elected
6,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,1,करुणा थामी,29,F,Nepali Congress,319,Elected
7,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,1,फुल माया क्रर्क,54,F,Nepali Congress,311,Elected
8,Dolakha,Kalinchowk Rural Municipality,Ward President,2,नानी पाण्डे,40,M,Communist Party of Nepal (Maoist Centre),571,Elected
9,Dolakha,Kalinchowk Rural Municipality,Ward Member,2,जाहान सी ंथामी,33,M,Communist Party of Nepal (Maoist Centre),600,Elected
10,Dolakha,Kalinchowk Rural Municipality,Ward Member,2,ददपेतर बढुाथोकी,27,M,Communist Party of Nepal (Maoist Centre),585,Elected
11,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,2,चतर माया थामी,49,F,Communist Party of Nepal (Maoist Centre),640,Elected
12,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,2,सतुतली कामी,52,F,Communist Party of Nepal (Maoist Centre),616,Elected
13,Dolakha,Kalinchowk Rural Municipality,Ward President,3,ननसान बढुाथोकी,28,M,Communist Party of Nepal (UML),354,Elected
14,Dolakha,Kalinchowk Rural Municipality,Ward Member,3,पषु्कि बहादिु न्शर्ाकोटी,37,M,Communist Party of Nepal (UML),331,Elected
15,Dolakha,Kalinchowk Rural Municipality,Ward Member,3,अमतृ बहादिु पाण्डे,63,M,Communist Party of Nepal (UML),327,Elected
16,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,3,शातती खड्का,39,F,Communist Party of Nepal (UML),335,Elected
17,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,3,सनुमरा शंङ्कि,28,F,Communist Party of Nepal (UML),345,Elected
18,Dolakha,Kalinchowk Rural Municipality,Ward President,4,केशर् बहादिु ठकुिी,55,M,Communist Party of Nepal (UML),382,Elected
19,Dolakha,Kalinchowk Rural Municipality,Ward Member,4,केशि बहादिु थापा,58,M,Communist Party of Nepal (UML),405,Elected
20,Dolakha,Kalinchowk Rural Municipality,Ward Member,4,धन बहादिु थामी,54,M,Communist Party of Nepal (UML),388,Elected
21,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,4,कृष्ण कुमािी खड्का,41,F,Communist Party of Nepal (UML),413,Elected
22,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,4,अमतृा कामी,46,F,Communist Party of Nepal (UML),403,Elected
23,Dolakha,Kalinchowk Rural Municipality,Ward President,5,सरु्ास थामी,33,M,Communist Party of Nepal (UML),454,Elected
24,Dolakha,Kalinchowk Rural Municipality,Ward Member,5,गणेश र्हादिु खड्का,50,M,Communist Party of Nepal (UML),476,Elected
25,Dolakha,Kalinchowk Rural Municipality,Ward Member,5,लक्ष्मीमन थामी,40,M,Communist Party of Nepal (UML),467,Elected
26,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,5,िानधका खड्का,44,F,Communist Party of Nepal (UML),486,Elected
27,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,5,िान ुदेर्ी दमाई(नपाली),37,F,Communist Party of Nepal (UML),491,Elected
28,Dolakha,Kalinchowk Rural Municipality,Ward President,6,मान नस थामी,56,M,Communist Party of Nepal (UML),593,Elected
29,Dolakha,Kalinchowk Rural Municipality,Ward Member,6,डबल पाण्डे,49,M,Communist Party of Nepal (UML),622,Elected
30,Dolakha,Kalinchowk Rural Municipality,Ward Member,6,िक्त बहादिु र्स्नते,80,M,Communist Party of Nepal (UML),598,Elected
31,Dolakha,Kalinchowk Rural Municipality,Female Ward Member,6,ददल माया थामी,39,F,Communist Party of Nepal (UML),615,Elected
32,Dolakha,Kalinchowk Rural Municipality,Dalit Female Ward Member,6,छर माया क्रर्श्वकमा,51,F,Communist Party of Nepal (UML),0,Unopposed
