District,21-40,41-60,60+,Total,21-40pct,41-60pct,60+pct
Bhaktapur,0,4,0,4,0.00,100.00,0.00
Chitawan,0,6,1,7,0.00,85.71,14.29
Dhading,1,10,2,13,7.69,76.92,15.38
Dolakha,1,8,0,9,11.11,88.89,0.00
Kathmandu,0,10,1,11,0.00,90.91,9.09
Kavrepalanchok,2,8,3,13,15.38,61.54,23.08
Lalitpur,1,4,1,6,16.67,66.67,16.67
Makwanpur,3,7,0,10,30.00,70.00,0.00
Nuwakot,1,11,1,13,7.69,84.62,7.69
Ramechhap,0,8,0,8,0.00,100.00,0.00
Rasuwa,2,3,0,5,40.00,60.00,0.00
Sindhuli,2,6,1,9,22.22,66.67,11.11
Sindhupalchok,1,11,1,13,7.69,84.62,7.69
