SN,Province,District ,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
1,Province 1,Pachthar,Kummayak Rural Municipality,Mayor,,45,M,Communist Party of Nepal (UML),3226,Elected
2,Province 1,Pachthar,Kummayak Rural Municipality,Vice-Mayor,,58,F,Communist Party of Nepal (UML),3285,Elected
3,Province 1,Pachthar,Kummayak Rural Municipality,Ward President,1,31,M,Independent ,507,Elected
4,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,1,47,F,Communist Party of Nepal (UML),610,Elected
5,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,1,52,M,Communist Party of Nepal (UML),589,Elected
6,Province 1,Pachthar,Kummayak Rural Municipality,Female Ward Member,1,48,F,Communist Party of Nepal (UML),611,Elected
7,Province 1,Pachthar,Kummayak Rural Municipality,Dalit Female Ward Member,1,55,F,Communist Party of Nepal (UML),571,Elected
8,Province 1,Pachthar,Kummayak Rural Municipality,Ward President,2,53,M,Communist Party of Nepal (UML),701,Elected
9,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,2,48,M,Communist Party of Nepal (UML),689,Elected
10,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,2,54,M,Communist Party of Nepal (UML),664,Elected
11,Province 1,Pachthar,Kummayak Rural Municipality,Female Ward Member,2,43,F,Communist Party of Nepal (UML),709,Elected
12,Province 1,Pachthar,Kummayak Rural Municipality,Dalit Female Ward Member,2,66,F,Communist Party of Nepal (UML),667,Elected
13,Province 1,Pachthar,Kummayak Rural Municipality,Ward President,3,38,M,Communist Party of Nepal (UML),505,Elected
14,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,3,36,M,Communist Party of Nepal (UML),472,Elected
15,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,3,46,M,Communist Party of Nepal (UML),454,Elected
16,Province 1,Pachthar,Kummayak Rural Municipality,Female Ward Member,3,39,F,Communist Party of Nepal (UML),438,Elected
17,Province 1,Pachthar,Kummayak Rural Municipality,Dalit Female Ward Member,3,28,F,Communist Party of Nepal (UML),454,Elected
18,Province 1,Pachthar,Kummayak Rural Municipality,Ward President,4,54,M,Communist Party of Nepal (UML),557,Elected
19,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,4,43,M,Communist Party of Nepal (UML),610,Elected
20,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,4,52,M,Communist Party of Nepal (UML),586,Elected
21,Province 1,Pachthar,Kummayak Rural Municipality,Female Ward Member,4,45,F,Communist Party of Nepal (UML),629,Elected
22,Province 1,Pachthar,Kummayak Rural Municipality,Dalit Female Ward Member,4,57,F,Communist Party of Nepal (UML),630,Elected
23,Province 1,Pachthar,Kummayak Rural Municipality,Ward President,5,57,M,Communist Party of Nepal (UML),711,Elected
24,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,5,52,M,Communist Party of Nepal (UML),645,Elected
25,Province 1,Pachthar,Kummayak Rural Municipality,Ward Member,5,54,M,Communist Party of Nepal (UML),642,Elected
26,Province 1,Pachthar,Kummayak Rural Municipality,Female Ward Member,5,22,F,Communist Party of Nepal (UML),706,Elected
27,Province 1,Pachthar,Kummayak Rural Municipality,Dalit Female Ward Member,5,23,F,Communist Party of Nepal (UML),698,Elected
28,Province 1,Pachthar,Tumbewa Rural Municipality,Mayor,,53,M,Nepali Congress,2350,Elected
29,Province 1,Pachthar,Tumbewa Rural Municipality,Vice-Mayor,,46,M,Communist Party of Nepal (UML),1964,Elected
30,Province 1,Pachthar,Tumbewa Rural Municipality,Ward President,1,42,M,Communist Party of Nepal (UML),325,Elected
31,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,1,37,M,Nepali Congress,401,Elected
32,Province 1,Pachthar,Tumbewa Rural Municipality,Ward Member,1,38,M,Communist Party of Nepal (UML),307,Elected
33,Province 1,Pachthar,Tumbewa Rural Municipality,Female Ward Member,1,55,F,Communist Party of Nepal (UML),436,Elected
34,Province 1,Pachthar,Tumbewa Rural Municipality,Dalit Female Ward Member,1,47,F,Communist Party of Nepal (UML),344,Elected
