SN,Province,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
1,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Mayor,,45,M,Nepali Congress,"3,395",Elected
2,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Vice-Mayor,,38,F,Nepali Congress,"2,948",Elected
3,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward President,1,48,M,Nepali Congress,640,Elected
4,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,1,70,M,Nepali Congress,451,Elected
5,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,1,62,M,Nepali Congress,416,Elected
6,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Female Ward Member,1,65,F,Nepali Congress,640,Elected
7,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Dalit Female Ward Member,1,25,F,Nepali Congress,528,Elected
8,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward President,2,48,M,Communist Party of Nepal (Maoist Centre),529,Elected
9,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,2,40,F,Communist Party of Nepal (Maoist Centre),436,Elected
10,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,2,45,M,Communist Party of Nepal (Maoist Centre),428,Elected
11,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Female Ward Member,2,32,F,Communist Party of Nepal (Maoist Centre),392,Elected
12,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Dalit Female Ward Member,2,49,F,Communist Party of Nepal (Maoist Centre),469,Elected
13,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward President,3,49,M,Communist Party of Nepal (Maoist Centre),442,Elected
14,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,3,50,M,Nepal Loktantric Forum,319,Elected
15,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,3,52,M,Communist Party of Nepal (Maoist Centre),292,Elected
16,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Female Ward Member,3,38,F,Communist Party of Nepal (UML),353,Elected
17,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Dalit Female Ward Member,3,60,F,Nepal Loktantric Forum,284,Elected
18,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward President,4,37,M,Nepali Congress,"1,084",Elected
19,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,4,55,M,Nepali Congress,929,Elected
20,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,4,44,M,Nepali Congress,853,Elected
21,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Female Ward Member,4,45,F,Nepali Congress,967,Elected
22,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Dalit Female Ward Member,4,38,F,Nepali Congress,931,Elected
23,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward President,5,47,M,Nepali Congress,474,Elected
24,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,5,46,M,Nepali Congress,505,Elected
25,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,5,33,M,Nepali Congress,460,Elected
26,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Female Ward Member,5,46,F,Nepali Congress,499,Elected
27,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Dalit Female Ward Member,5,36,F,Nepali Congress,504,Elected
28,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward President,6,46,F,Communist Party of Nepal (UML),429,Elected
29,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,6,60,M,Communist Party of Nepal (UML),433,Elected
30,Province 2,Saptari,Agnisair Krishna Sabaran Rural Municipality,Ward Member,6,34,M,Communist Party of Nepal (UML),402,Elected
