SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
1,Gulmi,Isma Rural Municipality,Mayor,  ,65,M,Communist Party of Nepal (UML),5055,Elected
2,Gulmi,Isma Rural Municipality,Vice-Mayor,  ,39,F,Communist Party of Nepal (UML),4913,Elected
3,Gulmi,Isma Rural Municipality,Ward President,1,41,M,Nepali Congress,746,Elected
4,Gulmi,Isma Rural Municipality,Ward Member,1,57,M,Nepali Congress,745,Elected
5,Gulmi,Isma Rural Municipality,Ward Member,1,59,M,Nepali Congress,710,Elected
6,Gulmi,Isma Rural Municipality,Female Ward Member,1,41,F,Nepali Congress,722,Elected
7,Gulmi,Isma Rural Municipality,Dalit Female Ward Member,1,46,F,Nepali Congress,736,Elected
8,Gulmi,Isma Rural Municipality,Ward President,2,63,M,Communist Party of Nepal (UML),871,Elected
9,Gulmi,Isma Rural Municipality,Ward Member,2,41,M,Communist Party of Nepal (UML),887,Elected
10,Gulmi,Isma Rural Municipality,Ward Member,2,61,M,Communist Party of Nepal (UML),879,Elected
11,Gulmi,Isma Rural Municipality,Female Ward Member,2,30,F,Communist Party of Nepal (UML),876,Elected
12,Gulmi,Isma Rural Municipality,Dalit Female Ward Member,2,37,F,Communist Party of Nepal (UML),886,Elected
13,Gulmi,Isma Rural Municipality,Ward President,3,60,M,Communist Party of Nepal (UML),622,Elected
14,Gulmi,Isma Rural Municipality,Ward Member,3,41,M,Communist Party of Nepal (UML),673,Elected
15,Gulmi,Isma Rural Municipality,Ward Member,3,61,M,Communist Party of Nepal (UML),664,Elected
16,Gulmi,Isma Rural Municipality,Female Ward Member,3,38,F,Communist Party of Nepal (UML),675,Elected
17,Gulmi,Isma Rural Municipality,Dalit Female Ward Member,3,64,F,Communist Party of Nepal (UML),674,Elected
18,Gulmi,Isma Rural Municipality,Ward President,4,43,M,Communist Party of Nepal (UML),1006,Elected
19,Gulmi,Isma Rural Municipality,Ward Member,4,56,M,Communist Party of Nepal (UML),1017,Elected
20,Gulmi,Isma Rural Municipality,Ward Member,4,52,M,Communist Party of Nepal (UML),1004,Elected
21,Gulmi,Isma Rural Municipality,Female Ward Member,4,33,F,Communist Party of Nepal (UML),1023,Elected
22,Gulmi,Isma Rural Municipality,Dalit Female Ward Member,4,30,F,Communist Party of Nepal (UML),1016,Elected
23,Gulmi,Isma Rural Municipality,Ward President,5,62,M,Communist Party of Nepal (UML),869,Elected
24,Gulmi,Isma Rural Municipality,Ward Member,5,49,M,Communist Party of Nepal (UML),896,Elected
25,Gulmi,Isma Rural Municipality,Ward Member,5,66,M,Communist Party of Nepal (UML),883,Elected
26,Gulmi,Isma Rural Municipality,Female Ward Member,5,53,F,Communist Party of Nepal (UML),880,Elected
27,Gulmi,Isma Rural Municipality,Dalit Female Ward Member,5,50,F,Communist Party of Nepal (UML),892,Elected
28,Gulmi,Isma Rural Municipality,Ward President,6,48,M,Communist Party of Nepal (UML),940,Elected
29,Gulmi,Isma Rural Municipality,Ward Member,6,55,M,Communist Party of Nepal (UML),966,Elected
30,Gulmi,Isma Rural Municipality,Ward Member,6,55,M,Communist Party of Nepal (UML),879,Elected
31,Gulmi,Isma Rural Municipality,Female Ward Member,6,60,F,Communist Party of Nepal (UML),919,Elected
32,Gulmi,Isma Rural Municipality,Dalit Female Ward Member,6,40,F,Communist Party of Nepal (UML),940,Elected
1,Gulmi,Kali Gandaki Rural Municipality,Mayor,  ,38,M,Nepali Congress,4298,Elected
2,Gulmi,Kali Gandaki Rural Municipality,Vice-Mayor,  ,32,F,Communist Party of Nepal (UML),3856,Elected
3,Gulmi,Kali Gandaki Rural Municipality,Ward President,1,55,M,Communist Party of Nepal (UML),668,Elected
4,Gulmi,Kali Gandaki Rural Municipality,Ward Member,1,35,M,Communist Party of Nepal (UML),665,Elected
5,Gulmi,Kali Gandaki Rural Municipality,Ward Member,1,42,M,Communist Party of Nepal (UML),653,Elected
6,Gulmi,Kali Gandaki Rural Municipality,Female Ward Member,1,41,F,Communist Party of Nepal (UML),683,Elected
7,Gulmi,Kali Gandaki Rural Municipality,Dalit Female Ward Member,1,23,F,Communist Party of Nepal (UML),681,Elected
8,Gulmi,Kali Gandaki Rural Municipality,Ward President,2,60,M,Communist Party of Nepal (UML),708,Elected
9,Gulmi,Kali Gandaki Rural Municipality,Ward Member,2,36,M,Communist Party of Nepal (UML),756,Elected
10,Gulmi,Kali Gandaki Rural Municipality,Ward Member,2,49,M,Communist Party of Nepal (UML),713,Elected
11,Gulmi,Kali Gandaki Rural Municipality,Female Ward Member,2,63,F,Communist Party of Nepal (UML),721,Elected
12,Gulmi,Kali Gandaki Rural Municipality,Dalit Female Ward Member,2,39,F,Communist Party of Nepal (UML),697,Elected
13,Gulmi,Kali Gandaki Rural Municipality,Ward President,3,48,M,Nepali Congress,370,Elected
14,Gulmi,Kali Gandaki Rural Municipality,Ward Member,3,63,M,Nepali Congress,350,Elected
15,Gulmi,Kali Gandaki Rural Municipality,Ward Member,3,37,M,Nepali Congress,309,Elected
16,Gulmi,Kali Gandaki Rural Municipality,Female Ward Member,3,29,F,Nepali Congress,355,Elected
17,Gulmi,Kali Gandaki Rural Municipality,Dalit Female Ward Member,3,31,F,Nepali Congress,347,Elected
18,Gulmi,Kali Gandaki Rural Municipality,Ward President,4,52,M,Nepali Congress,371,Elected
19,Gulmi,Kali Gandaki Rural Municipality,Ward Member,4,64,M,Nepali Congress,335,Elected
20,Gulmi,Kali Gandaki Rural Municipality,Ward Member,4,43,M,Nepali Congress,327,Elected
21,Gulmi,Kali Gandaki Rural Municipality,Female Ward Member,4,34,F,Nepali Congress,348,Elected
22,Gulmi,Kali Gandaki Rural Municipality,Dalit Female Ward Member,4,42,F,Nepali Congress,346,Elected
23,Gulmi,Kali Gandaki Rural Municipality,Ward President,5,45,M,Nepali Congress,580,Elected
24,Gulmi,Kali Gandaki Rural Municipality,Ward Member,5,40,M,Nepali Congress,567,Elected
25,Gulmi,Kali Gandaki Rural Municipality,Ward Member,5,56,M,Communist Party of Nepal (UML),563,Elected
26,Gulmi,Kali Gandaki Rural Municipality,Female Ward Member,5,50,F,Nepali Congress,582,Elected
27,Gulmi,Kali Gandaki Rural Municipality,Dalit Female Ward Member,5,37,F,Nepali Congress,581,Elected
28,Gulmi,Kali Gandaki Rural Municipality,Ward President,6,54,M,Rastriya Janamorcha,1017,Elected
29,Gulmi,Kali Gandaki Rural Municipality,Ward Member,6,41,M,Rastriya Janamorcha,1020,Elected
30,Gulmi,Kali Gandaki Rural Municipality,Ward Member,6,51,M,Rastriya Janamorcha,977,Elected
31,Gulmi,Kali Gandaki Rural Municipality,Female Ward Member,6,50,F,Rastriya Janamorcha,1025,Elected
32,Gulmi,Kali Gandaki Rural Municipality,Dalit Female Ward Member,6,40,F,Rastriya Janamorcha,1029,Elected
33,Gulmi,Kali Gandaki Rural Municipality,Ward President,7,53,M,Nepali Congress,800,Elected
34,Gulmi,Kali Gandaki Rural Municipality,Ward Member,7,54,M,Nepali Congress,798,Elected
35,Gulmi,Kali Gandaki Rural Municipality,Ward Member,7,36,M,Nepali Congress,793,Elected
36,Gulmi,Kali Gandaki Rural Municipality,Female Ward Member,7,46,F,Nepali Congress,805,Elected
37,Gulmi,Kali Gandaki Rural Municipality,Dalit Female Ward Member,7,39,F,Nepali Congress,795,Elected
1,Gulmi,Gulmi Durbar Rural Municipality,Mayor,  ,66,M,Nepali Congress,5575,Elected
2,Gulmi,Gulmi Durbar Rural Municipality,Vice-Mayor,  ,61,F,Nepali Congress,5608,Elected
3,Gulmi,Gulmi Durbar Rural Municipality,Ward President,1,50,M,Communist Party of Nepal (UML),766,Elected
4,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,1,48,M,Communist Party of Nepal (UML),764,Elected
5,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,1,36,M,Communist Party of Nepal (UML),764,Elected
6,Gulmi,Gulmi Durbar Rural Municipality,Female Ward Member,1,57,F,Communist Party of Nepal (UML),769,Elected
7,Gulmi,Gulmi Durbar Rural Municipality,Dalit Female Ward Member,1,28,F,Communist Party of Nepal (UML),800,Elected
8,Gulmi,Gulmi Durbar Rural Municipality,Ward President,2,55,M,Communist Party of Nepal (UML),1116,Elected
9,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,2,56,M,Communist Party of Nepal (UML),1124,Elected
10,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,2,52,M,Communist Party of Nepal (UML),1095,Elected
11,Gulmi,Gulmi Durbar Rural Municipality,Female Ward Member,2,46,F,Communist Party of Nepal (UML),1122,Elected
12,Gulmi,Gulmi Durbar Rural Municipality,Dalit Female Ward Member,2,35,F,Communist Party of Nepal (UML),1122,Elected
13,Gulmi,Gulmi Durbar Rural Municipality,Ward President,3,75,M,Nepali Congress,882,Elected
14,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,3,56,M,Nepali Congress,888,Elected
15,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,3,36,M,Nepali Congress,872,Elected
16,Gulmi,Gulmi Durbar Rural Municipality,Female Ward Member,3,51,F,Nepali Congress,867,Elected
17,Gulmi,Gulmi Durbar Rural Municipality,Dalit Female Ward Member,3,38,F,Nepali Congress,896,Elected
18,Gulmi,Gulmi Durbar Rural Municipality,Ward President,4,47,M,Communist Party of Nepal (UML),1248,Elected
19,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,4,56,M,Communist Party of Nepal (UML),1273,Elected
20,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,4,41,M,Communist Party of Nepal (UML),1257,Elected
21,Gulmi,Gulmi Durbar Rural Municipality,Female Ward Member,4,34,F,Communist Party of Nepal (UML),1250,Elected
22,Gulmi,Gulmi Durbar Rural Municipality,Dalit Female Ward Member,4,33,F,Communist Party of Nepal (UML),1249,Elected
23,Gulmi,Gulmi Durbar Rural Municipality,Ward President,5,59,M,Nepali Congress,546,Elected
24,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,5,45,M,Nepali Congress,530,Elected
25,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,5,46,M,Nepali Congress,517,Elected
26,Gulmi,Gulmi Durbar Rural Municipality,Female Ward Member,5,44,F,Nepali Congress,532,Elected
27,Gulmi,Gulmi Durbar Rural Municipality,Dalit Female Ward Member,5,34,F,Nepali Congress,526,Elected
28,Gulmi,Gulmi Durbar Rural Municipality,Ward President,6,67,M,Nepali Congress,727,Elected
29,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,6,42,M,Nepali Congress,758,Elected
30,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,6,64,M,Nepali Congress,754,Elected
31,Gulmi,Gulmi Durbar Rural Municipality,Female Ward Member,6,56,F,Nepali Congress,755,Elected
32,Gulmi,Gulmi Durbar Rural Municipality,Dalit Female Ward Member,6,37,F,Nepali Congress,754,Elected
33,Gulmi,Gulmi Durbar Rural Municipality,Ward President,7,54,M,Nepali Congress,830,Elected
34,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,7,38,M,Nepali Congress,843,Elected
35,Gulmi,Gulmi Durbar Rural Municipality,Ward Member,7,56,M,Nepali Congress,838,Elected
36,Gulmi,Gulmi Durbar Rural Municipality,Female Ward Member,7,47,F,Nepali Congress,875,Elected
37,Gulmi,Gulmi Durbar Rural Municipality,Dalit Female Ward Member,7,34,F,Nepali Congress,882,Elected
1,Gulmi,Chandrakot Rural Municipality,Mayor,  ,42,M,Nepali Congress,3340,Elected
2,Gulmi,Chandrakot Rural Municipality,Vice-Mayor,  ,45,F,Communist Party of Nepal (UML),3232,Elected
3,Gulmi,Chandrakot Rural Municipality,Ward President,1,64,M,Communist Party of Nepal (UML),305,Elected
4,Gulmi,Chandrakot Rural Municipality,Ward Member,1,40,M,Communist Party of Nepal (UML),291,Elected
5,Gulmi,Chandrakot Rural Municipality,Ward Member,1,56,M,Communist Party of Nepal (UML),290,Elected
6,Gulmi,Chandrakot Rural Municipality,Female Ward Member,1,41,F,Communist Party of Nepal (UML),282,Elected
7,Gulmi,Chandrakot Rural Municipality,Dalit Female Ward Member,1,31,F,Communist Party of Nepal (UML),271,Elected
8,Gulmi,Chandrakot Rural Municipality,Ward President,2,38,M,Communist Party of Nepal (Maoist Centre),433,Elected
9,Gulmi,Chandrakot Rural Municipality,Ward Member,2,55,M,Communist Party of Nepal (Maoist Centre),432,Elected
10,Gulmi,Chandrakot Rural Municipality,Ward Member,2,46,M,Communist Party of Nepal (Maoist Centre),428,Elected
11,Gulmi,Chandrakot Rural Municipality,Female Ward Member,2,34,F,Communist Party of Nepal (Maoist Centre),424,Elected
12,Gulmi,Chandrakot Rural Municipality,Dalit Female Ward Member,2,32,F,Communist Party of Nepal (Maoist Centre),424,Elected
13,Gulmi,Chandrakot Rural Municipality,Ward President,3,50,M,Nepali Congress,333,Elected
14,Gulmi,Chandrakot Rural Municipality,Ward Member,3,68,M,Nepali Congress,389,Elected
15,Gulmi,Chandrakot Rural Municipality,Ward Member,3,51,M,Nepali Congress,336,Elected
16,Gulmi,Chandrakot Rural Municipality,Female Ward Member,3,45,F,Nepali Congress,387,Elected
17,Gulmi,Chandrakot Rural Municipality,Dalit Female Ward Member,3,49,F,Nepali Congress,378,Elected
18,Gulmi,Chandrakot Rural Municipality,Ward President,4,56,M,Communist Party of Nepal (UML),784,Elected
19,Gulmi,Chandrakot Rural Municipality,Ward Member,4,40,M,Communist Party of Nepal (UML),806,Elected
20,Gulmi,Chandrakot Rural Municipality,Ward Member,4,34,M,Communist Party of Nepal (UML),784,Elected
21,Gulmi,Chandrakot Rural Municipality,Female Ward Member,4,33,F,Communist Party of Nepal (UML),765,Elected
22,Gulmi,Chandrakot Rural Municipality,Dalit Female Ward Member,4,40,F,Communist Party of Nepal (UML),803,Elected
23,Gulmi,Chandrakot Rural Municipality,Ward President,5,58,M,Communist Party of Nepal (UML),299,Elected
24,Gulmi,Chandrakot Rural Municipality,Ward Member,5,53,M,Communist Party of Nepal (UML),323,Elected
25,Gulmi,Chandrakot Rural Municipality,Ward Member,5,47,M,Communist Party of Nepal (UML),303,Elected
26,Gulmi,Chandrakot Rural Municipality,Female Ward Member,5,42,F,Communist Party of Nepal (UML),319,Elected
27,Gulmi,Chandrakot Rural Municipality,Dalit Female Ward Member,5,28,F,Communist Party of Nepal (UML),323,Elected
28,Gulmi,Chandrakot Rural Municipality,Ward President,6,45,M,Communist Party of Nepal (Maoist Centre),354,Elected
29,Gulmi,Chandrakot Rural Municipality,Ward Member,6,37,M,Communist Party of Nepal (UML),307,Elected
30,Gulmi,Chandrakot Rural Municipality,Ward Member,6,39,M,Communist Party of Nepal (UML),302,Elected
31,Gulmi,Chandrakot Rural Municipality,Female Ward Member,6,39,F,Communist Party of Nepal (UML),293,Elected
32,Gulmi,Chandrakot Rural Municipality,Dalit Female Ward Member,6,43,F,Communist Party of Nepal (UML),326,Elected
33,Gulmi,Chandrakot Rural Municipality,Ward President,7,48,M,Nepali Congress,742,Elected
34,Gulmi,Chandrakot Rural Municipality,Ward Member,7,45,M,Nepali Congress,682,Elected
35,Gulmi,Chandrakot Rural Municipality,Ward Member,7,53,M,Communist Party of Nepal (UML),646,Elected
36,Gulmi,Chandrakot Rural Municipality,Female Ward Member,7,40,F,Nepali Congress,731,Elected
37,Gulmi,Chandrakot Rural Municipality,Dalit Female Ward Member,7,46,F,Nepali Congress,700,Elected
38,Gulmi,Chandrakot Rural Municipality,Ward President,8,62,M,Communist Party of Nepal (UML),620,Elected
39,Gulmi,Chandrakot Rural Municipality,Ward Member,8,53,M,Communist Party of Nepal (UML),687,Elected
40,Gulmi,Chandrakot Rural Municipality,Ward Member,8,30,M,Communist Party of Nepal (UML),671,Elected
41,Gulmi,Chandrakot Rural Municipality,Female Ward Member,8,32,F,Communist Party of Nepal (UML),678,Elected
42,Gulmi,Chandrakot Rural Municipality,Dalit Female Ward Member,8,36,F,Communist Party of Nepal (UML),687,Elected
1,Gulmi,Chhatrakot Rural Municipality,Mayor,  ,62,M,Communist Party of Nepal (UML),5551,Elected
2,Gulmi,Chhatrakot Rural Municipality,Vice-Mayor,  ,48,F,Communist Party of Nepal (UML),5476,Elected
3,Gulmi,Chhatrakot Rural Municipality,Ward President,1,50,M,Nepali Congress,1009,Elected
4,Gulmi,Chhatrakot Rural Municipality,Ward Member,1,53,M,Nepali Congress,1071,Elected
5,Gulmi,Chhatrakot Rural Municipality,Ward Member,1,62,M,Nepali Congress,1012,Elected
6,Gulmi,Chhatrakot Rural Municipality,Female Ward Member,1,49,F,Nepali Congress,1068,Elected
7,Gulmi,Chhatrakot Rural Municipality,Dalit Female Ward Member,1,29,F,Nepali Congress,1088,Elected
8,Gulmi,Chhatrakot Rural Municipality,Ward President,2,53,M,Nepali Congress,826,Elected
9,Gulmi,Chhatrakot Rural Municipality,Ward Member,2,39,M,Nepali Congress,802,Elected
10,Gulmi,Chhatrakot Rural Municipality,Ward Member,2,40,M,Nepali Congress,731,Elected
11,Gulmi,Chhatrakot Rural Municipality,Female Ward Member,2,22,F,Nepali Congress,829,Elected
12,Gulmi,Chhatrakot Rural Municipality,Dalit Female Ward Member,2,25,F,Nepali Congress,829,Elected
13,Gulmi,Chhatrakot Rural Municipality,Ward President,3,52,M,Communist Party of Nepal (UML),1373,Elected
14,Gulmi,Chhatrakot Rural Municipality,Ward Member,3,44,M,Rastriya Janamorcha,1491,Elected
15,Gulmi,Chhatrakot Rural Municipality,Ward Member,3,50,M,Communist Party of Nepal (UML),1407,Elected
16,Gulmi,Chhatrakot Rural Municipality,Female Ward Member,3,33,F,Communist Party of Nepal (UML),1444,Elected
17,Gulmi,Chhatrakot Rural Municipality,Dalit Female Ward Member,3,31,F,Communist Party of Nepal (UML),1486,Elected
18,Gulmi,Chhatrakot Rural Municipality,Ward President,4,50,M,Communist Party of Nepal (UML),1237,Elected
19,Gulmi,Chhatrakot Rural Municipality,Ward Member,4,39,M,Communist Party of Nepal (UML),1361,Elected
20,Gulmi,Chhatrakot Rural Municipality,Ward Member,4,56,M,Communist Party of Nepal (UML),1296,Elected
21,Gulmi,Chhatrakot Rural Municipality,Female Ward Member,4,51,F,Communist Party of Nepal (UML),1374,Elected
22,Gulmi,Chhatrakot Rural Municipality,Dalit Female Ward Member,4,26,F,Communist Party of Nepal (UML),1398,Elected
23,Gulmi,Chhatrakot Rural Municipality,Ward President,5,55,M,Communist Party of Nepal (UML),688,Elected
24,Gulmi,Chhatrakot Rural Municipality,Ward Member,5,50,M,Communist Party of Nepal (UML),662,Elected
25,Gulmi,Chhatrakot Rural Municipality,Ward Member,5,64,M,Communist Party of Nepal (UML),623,Elected
26,Gulmi,Chhatrakot Rural Municipality,Female Ward Member,5,35,F,Communist Party of Nepal (UML),674,Elected
27,Gulmi,Chhatrakot Rural Municipality,Dalit Female Ward Member,5,36,F,Communist Party of Nepal (UML),670,Elected
28,Gulmi,Chhatrakot Rural Municipality,Ward President,6,60,M,Communist Party of Nepal (UML),725,Elected
29,Gulmi,Chhatrakot Rural Municipality,Ward Member,6,26,M,Communist Party of Nepal (UML),701,Elected
30,Gulmi,Chhatrakot Rural Municipality,Ward Member,6,53,M,Rastriya Janamorcha,640,Elected
31,Gulmi,Chhatrakot Rural Municipality,Female Ward Member,6,37,F,Communist Party of Nepal (UML),724,Elected
32,Gulmi,Chhatrakot Rural Municipality,Dalit Female Ward Member,6,32,F,Communist Party of Nepal (UML),721,Elected
1,Gulmi,Dhurkot Rural Municipality,Mayor,  ,34,M,Communist Party of Nepal (Maoist Centre),5116,Elected
2,Gulmi,Dhurkot Rural Municipality,Vice-Mayor,  ,49,M,Nepali Congress,4919,Elected
3,Gulmi,Dhurkot Rural Municipality,Ward President,1,52,M,Nepali Congress,816,Elected
4,Gulmi,Dhurkot Rural Municipality,Ward Member,1,41,M,Nepali Congress,793,Elected
5,Gulmi,Dhurkot Rural Municipality,Ward Member,1,43,M,Nepali Congress,752,Elected
6,Gulmi,Dhurkot Rural Municipality,Female Ward Member,1,56,F,Nepali Congress,806,Elected
7,Gulmi,Dhurkot Rural Municipality,Dalit Female Ward Member,1,26,F,Nepali Congress,811,Elected
8,Gulmi,Dhurkot Rural Municipality,Ward President,2,46,M,Nepali Congress,714,Elected
9,Gulmi,Dhurkot Rural Municipality,Ward Member,2,47,M,Nepali Congress,756,Elected
10,Gulmi,Dhurkot Rural Municipality,Ward Member,2,32,F,Nepali Congress,728,Elected
11,Gulmi,Dhurkot Rural Municipality,Female Ward Member,2,42,F,Nepali Congress,752,Elected
12,Gulmi,Dhurkot Rural Municipality,Dalit Female Ward Member,2,32,F,Nepali Congress,706,Elected
13,Gulmi,Dhurkot Rural Municipality,Ward President,3,48,M,Communist Party of Nepal (UML),925,Elected
14,Gulmi,Dhurkot Rural Municipality,Ward Member,3,46,M,Communist Party of Nepal (UML),942,Elected
15,Gulmi,Dhurkot Rural Municipality,Ward Member,3,55,M,Communist Party of Nepal (UML),940,Elected
16,Gulmi,Dhurkot Rural Municipality,Female Ward Member,3,64,F,Communist Party of Nepal (UML),934,Elected
17,Gulmi,Dhurkot Rural Municipality,Dalit Female Ward Member,3,28,F,Communist Party of Nepal (UML),925,Elected
18,Gulmi,Dhurkot Rural Municipality,Ward President,4,50,M,Communist Party of Nepal (Maoist Centre),698,Elected
19,Gulmi,Dhurkot Rural Municipality,Ward Member,4,40,M,Communist Party of Nepal (Maoist Centre),671,Elected
20,Gulmi,Dhurkot Rural Municipality,Ward Member,4,54,M,Communist Party of Nepal (Maoist Centre),647,Elected
21,Gulmi,Dhurkot Rural Municipality,Female Ward Member,4,39,F,Communist Party of Nepal (Maoist Centre),684,Elected
22,Gulmi,Dhurkot Rural Municipality,Dalit Female Ward Member,4,39,F,Communist Party of Nepal (Maoist Centre),678,Elected
23,Gulmi,Dhurkot Rural Municipality,Ward President,5,51,M,Nepali Congress,730,Elected
24,Gulmi,Dhurkot Rural Municipality,Ward Member,5,44,M,Communist Party of Nepal (UML),716,Elected
25,Gulmi,Dhurkot Rural Municipality,Ward Member,5,42,M,Nepali Congress,698,Elected
26,Gulmi,Dhurkot Rural Municipality,Female Ward Member,5,39,F,Nepali Congress,687,Elected
27,Gulmi,Dhurkot Rural Municipality,Dalit Female Ward Member,5,43,F,Nepali Congress,723,Elected
28,Gulmi,Dhurkot Rural Municipality,Ward President,6,51,M,Communist Party of Nepal (UML),712,Elected
29,Gulmi,Dhurkot Rural Municipality,Ward Member,6,48,M,Communist Party of Nepal (UML),688,Elected
30,Gulmi,Dhurkot Rural Municipality,Ward Member,6,40,M,Communist Party of Nepal (UML),685,Elected
31,Gulmi,Dhurkot Rural Municipality,Female Ward Member,6,29,F,Communist Party of Nepal (UML),687,Elected
32,Gulmi,Dhurkot Rural Municipality,Dalit Female Ward Member,6,44,F,Communist Party of Nepal (UML),705,Elected
33,Gulmi,Dhurkot Rural Municipality,Ward President,7,48,M,Communist Party of Nepal (UML),902,Elected
34,Gulmi,Dhurkot Rural Municipality,Ward Member,7,46,M,Communist Party of Nepal (UML),997,Elected
35,Gulmi,Dhurkot Rural Municipality,Ward Member,7,49,M,Communist Party of Nepal (UML),949,Elected
36,Gulmi,Dhurkot Rural Municipality,Female Ward Member,7,39,F,Communist Party of Nepal (UML),951,Elected
37,Gulmi,Dhurkot Rural Municipality,Dalit Female Ward Member,7,34,F,Communist Party of Nepal (UML),934,Elected
1,Gulmi,Madane Rural Municipality,Mayor,  ,67,M,Communist Party of Nepal (UML),4423,Elected
2,Gulmi,Madane Rural Municipality,Vice-Mayor,  ,31,F,Communist Party of Nepal (UML),4211,Elected
3,Gulmi,Madane Rural Municipality,Ward President,1,52,M,Communist Party of Nepal (UML),575,Elected
4,Gulmi,Madane Rural Municipality,Ward Member,1,35,M,Communist Party of Nepal (UML),491,Elected
5,Gulmi,Madane Rural Municipality,Ward Member,1,68,M,Communist Party of Nepal (UML),425,Elected
6,Gulmi,Madane Rural Municipality,Female Ward Member,1,47,F,Communist Party of Nepal (UML),549,Elected
7,Gulmi,Madane Rural Municipality,Dalit Female Ward Member,1,30,F,Communist Party of Nepal (UML),539,Elected
8,Gulmi,Madane Rural Municipality,Ward President,2,49,M,Communist Party of Nepal (UML),768,Elected
9,Gulmi,Madane Rural Municipality,Ward Member,2,55,M,Communist Party of Nepal (UML),764,Elected
10,Gulmi,Madane Rural Municipality,Ward Member,2,31,M,Communist Party of Nepal (UML),759,Elected
11,Gulmi,Madane Rural Municipality,Female Ward Member,2,43,F,Communist Party of Nepal (UML),813,Elected
12,Gulmi,Madane Rural Municipality,Dalit Female Ward Member,2,39,F,Communist Party of Nepal (UML),809,Elected
13,Gulmi,Madane Rural Municipality,Ward President,3,46,M,Communist Party of Nepal (UML),813,Elected
14,Gulmi,Madane Rural Municipality,Ward Member,3,31,M,Communist Party of Nepal (UML),773,Elected
15,Gulmi,Madane Rural Municipality,Ward Member,3,56,M,Communist Party of Nepal (UML),751,Elected
16,Gulmi,Madane Rural Municipality,Female Ward Member,3,40,F,Communist Party of Nepal (UML),794,Elected
17,Gulmi,Madane Rural Municipality,Dalit Female Ward Member,3,38,F,Communist Party of Nepal (UML),807,Elected
18,Gulmi,Madane Rural Municipality,Ward President,4,39,M,Communist Party of Nepal (UML),450,Elected
19,Gulmi,Madane Rural Municipality,Ward Member,4,68,M,Communist Party of Nepal (UML),426,Elected
20,Gulmi,Madane Rural Municipality,Ward Member,4,57,M,Communist Party of Nepal (UML),425,Elected
21,Gulmi,Madane Rural Municipality,Female Ward Member,4,53,F,Communist Party of Nepal (UML),452,Elected
22,Gulmi,Madane Rural Municipality,Dalit Female Ward Member,4,23,F,Communist Party of Nepal (UML),426,Elected
23,Gulmi,Madane Rural Municipality,Ward President,5,26,M,Communist Party of Nepal (UML),445,Elected
24,Gulmi,Madane Rural Municipality,Ward Member,5,43,M,Communist Party of Nepal (UML),418,Elected
25,Gulmi,Madane Rural Municipality,Ward Member,5,65,M,Communist Party of Nepal (UML),410,Elected
26,Gulmi,Madane Rural Municipality,Female Ward Member,5,51,F,Communist Party of Nepal (UML),447,Elected
27,Gulmi,Madane Rural Municipality,Dalit Female Ward Member,5,22,F,Communist Party of Nepal (UML),448,Elected
28,Gulmi,Madane Rural Municipality,Ward President,6,56,M,Communist Party of Nepal (UML),740,Elected
29,Gulmi,Madane Rural Municipality,Ward Member,6,42,M,Communist Party of Nepal (UML),729,Elected
30,Gulmi,Madane Rural Municipality,Ward Member,6,41,M,Nepali Congress,688,Elected
31,Gulmi,Madane Rural Municipality,Female Ward Member,6,47,F,Communist Party of Nepal (UML),760,Elected
32,Gulmi,Madane Rural Municipality,Dalit Female Ward Member,6,36,F,Communist Party of Nepal (UML),729,Elected
33,Gulmi,Madane Rural Municipality,Ward President,7,56,M,Nepali Congress,638,Elected
34,Gulmi,Madane Rural Municipality,Ward Member,7,51,M,Communist Party of Nepal (UML),572,Elected
35,Gulmi,Madane Rural Municipality,Ward Member,7,58,M,Nepali Congress,557,Elected
36,Gulmi,Madane Rural Municipality,Female Ward Member,7,37,F,Nepali Congress,603,Elected
37,Gulmi,Madane Rural Municipality,Dalit Female Ward Member,7,46,F,Nepali Congress,570,Elected
1,Gulmi,Malika Rural Municipality,Mayor,  ,56,M,Communist Party of Nepal (UML),4042,Elected
