SN,Province,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
1,Province 7,Bajura,Gaumul Rural Municipality,Mayor,  ,36,M,Communist Party of Nepal (UML),2240,Elected
2,Province 7,Bajura,Gaumul Rural Municipality,Vice-Mayor,  ,36,F,Communist Party of Nepal (UML),2201,Elected
3,Province 7,Bajura,Gaumul Rural Municipality,Ward President,1,48,M,Communist Party of Nepal (UML),590,Elected
4,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,1,38,M,Communist Party of Nepal (UML),585,Elected
5,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,1,29,M,Communist Party of Nepal (UML),583,Elected
6,Province 7,Bajura,Gaumul Rural Municipality,Female Ward Member,1,69,F,Communist Party of Nepal (UML),594,Elected
7,Province 7,Bajura,Gaumul Rural Municipality,Dalit Female Ward Member,1,37,F,Communist Party of Nepal (UML),593,Elected
8,Province 7,Bajura,Gaumul Rural Municipality,Ward President,2,54,M,Nepali Congress,388,Elected
9,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,2,44,M,Nepali Congress,401,Elected
10,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,2,48,M,Nepali Congress,400,Elected
11,Province 7,Bajura,Gaumul Rural Municipality,Female Ward Member,2,30,F,Nepali Congress,402,Elected
12,Province 7,Bajura,Gaumul Rural Municipality,Dalit Female Ward Member,2,32,F,Nepali Congress,399,Elected
13,Province 7,Bajura,Gaumul Rural Municipality,Ward President,3,64,M,Communist Party of Nepal (UML),380,Elected
14,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,3,43,M,Communist Party of Nepal (UML),379,Elected
15,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,3,37,M,Communist Party of Nepal (UML),379,Elected
16,Province 7,Bajura,Gaumul Rural Municipality,Female Ward Member,3,36,F,Communist Party of Nepal (UML),366,Elected
17,Province 7,Bajura,Gaumul Rural Municipality,Dalit Female Ward Member,3,37,F,Communist Party of Nepal (UML),376,Elected
18,Province 7,Bajura,Gaumul Rural Municipality,Ward President,4,46,M,Communist Party of Nepal (UML),328,Elected
19,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,4,48,M,Communist Party of Nepal (UML),323,Elected
20,Province 7,Bajura,Gaumul Rural Municipality,Ward Member,4,52,M,Communist Party of Nepal (UML),321,Elected
